City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Kapaa,US,82.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Jamestown,US,81.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Hilo,US,82.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Cabimas,VE,87.44,broken clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
24,Porbandar,IN,81.07,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
25,Milledgeville,US,88.99,overcast clouds,33.0801,-83.2321,Hampton Inn Milledgeville
30,Albany,US,86.67,few clouds,42.6001,-73.9662,
32,Hithadhoo,MV,80.29,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
50,Sinnamary,GF,80.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
56,Sao Paulo De Olivenca,BR,82.04,heavy intensity rain,-3.3783,-68.8725,
63,Kudahuvadhoo,MV,82.78,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
64,Yilan,TW,83.08,overcast clouds,24.757,121.753,Dar Chen Hotel
70,Acapulco,MX,86.25,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
72,Butaritari,KI,83.64,broken clouds,3.0707,172.7902,Isles Sunset Lodge
75,Tual,ID,80.01,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
87,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
91,Bethel,US,81.43,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
101,Chabahar,IR,81.63,few clouds,25.2919,60.643,هتل گدروشیا
102,Misratah,LY,81.36,clear sky,32.3754,15.0925,فندق الماسة
103,Leamington,CA,88.03,broken clouds,42.0549,-82.6062,Seacliffe Inn (The)
108,Penapolis,BR,80.62,clear sky,-21.4197,-50.0775,Bigs Hotel
110,Coahuayana,MX,88.65,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
124,Kulhudhuffushi,MV,82.29,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
