City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Geraldton,AU,-28.7667,114.6,63.01,72,40,12.66,light rain
1,Rikitea,PF,-23.1203,-134.9692,74.43,75,1,12.12,clear sky
2,Kapaa,US,22.0752,-159.319,82.47,66,62,3.0,broken clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,52,5.01,broken clouds
4,Mataura,NZ,-46.1927,168.8643,37.47,94,91,3.76,overcast clouds
5,Kruisfontein,ZA,-34.0033,24.7314,53.89,90,100,6.42,overcast clouds
6,Jamestown,US,42.097,-79.2353,81.3,70,76,4.0,broken clouds
7,Hilo,US,19.7297,-155.09,82.26,84,24,3.0,few clouds
8,Rawson,AR,-43.3002,-65.1023,46.44,55,0,7.29,clear sky
9,Paranaiba,BR,-19.6772,-51.1908,75.61,32,13,4.88,few clouds
10,Srednekolymsk,RU,67.45,153.6833,64.47,45,16,4.09,few clouds
11,Yellowknife,CA,62.456,-114.3525,55.92,47,75,5.75,broken clouds
12,Muros,ES,42.7762,-9.0603,63.23,75,99,6.22,overcast clouds
13,Caiaponia,BR,-16.9567,-51.8103,72.5,33,38,4.41,scattered clouds
14,Hermanus,ZA,-34.4187,19.2345,53.91,87,100,22.5,moderate rain
15,Klyuchi,RU,52.2667,79.1667,60.67,95,57,7.25,broken clouds
16,Busselton,AU,-33.65,115.3333,53.1,53,100,22.93,overcast clouds
17,North Branch,US,45.5113,-92.9802,79.14,80,100,7.58,overcast clouds
18,Ponta Do Sol,PT,32.6667,-17.1,71.01,75,27,3.4,scattered clouds
19,Kodiak,US,57.79,-152.4072,57.6,67,74,4.18,broken clouds
20,Severo-Kurilsk,RU,50.6789,156.125,55.27,89,50,12.08,scattered clouds
21,Bermejo,AR,-32.8833,-68.8,51.71,30,90,13.8,overcast clouds
22,Cabimas,VE,10.3883,-71.4399,87.44,61,77,7.29,broken clouds
23,Bluff,NZ,-46.6,168.3333,37.8,69,94,13.4,overcast clouds
24,Porbandar,IN,21.6422,69.6093,81.07,76,91,8.55,overcast clouds
25,Milledgeville,US,33.0801,-83.2321,88.99,62,97,3.83,overcast clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,76,90,9.22,overcast clouds
27,Grindavik,IS,63.8424,-22.4338,60.75,88,0,14.97,clear sky
28,Talnakh,RU,69.4865,88.3972,58.64,62,1,3.78,clear sky
29,Nikolskoye,RU,59.7035,30.7861,64.02,96,99,4.5,overcast clouds
30,Albany,US,42.6001,-73.9662,86.67,56,20,6.35,few clouds
31,Kaitangata,NZ,-46.2817,169.8464,38.91,83,90,8.95,overcast clouds
32,Hithadhoo,MV,-0.6,73.0833,80.29,76,100,3.4,overcast clouds
33,Batagay,RU,67.6333,134.6333,72.45,35,16,1.86,few clouds
34,Horasan,TR,40.0458,42.1728,65.25,65,82,4.0,broken clouds
35,Qaanaaq,GL,77.484,-69.3632,40.44,72,20,3.04,few clouds
36,Lavrentiya,RU,65.5833,-171.0,47.62,70,47,13.94,scattered clouds
37,Falun,SE,60.6036,15.626,57.94,95,100,3.56,overcast clouds
38,New Norfolk,AU,-42.7826,147.0587,44.74,84,28,2.84,scattered clouds
39,Norman Wells,CA,65.282,-126.8329,55.44,58,75,12.66,broken clouds
40,Provideniya,RU,64.3833,-173.3,46.51,76,75,8.95,broken clouds
41,Mudgee,AU,-32.5943,149.5871,44.65,93,75,1.14,broken clouds
42,Beringovskiy,RU,63.05,179.3167,43.63,86,100,20.76,light rain
43,Labuhan,ID,-6.8844,112.2051,77.02,89,46,8.52,scattered clouds
44,Saint-Pierre,RE,-21.3393,55.4781,67.64,71,0,8.05,clear sky
45,Santa Rosa,PH,14.3122,121.1114,80.58,87,90,3.98,overcast clouds
46,Port Elizabeth,ZA,-33.918,25.5701,56.1,82,93,8.9,overcast clouds
47,Saint-Francois,FR,46.4154,3.9054,59.18,90,0,1.14,clear sky
48,Harper,LR,4.375,-7.7169,76.23,85,38,11.27,light rain
49,Atuona,PF,-9.8,-139.0333,77.76,79,24,21.0,light rain
50,Sinnamary,GF,5.3833,-52.95,80.82,80,90,13.09,overcast clouds
51,Souillac,MU,-20.5167,57.5167,68.38,94,75,8.05,light rain
52,Pisco,PE,-13.7,-76.2167,64.45,72,75,19.57,broken clouds
53,Carnarvon,AU,-24.8667,113.6333,59.07,85,75,4.61,broken clouds
54,Saint-Philippe,RE,-21.3585,55.7679,67.55,84,27,8.41,light rain
55,Arona,ES,28.0996,-16.681,67.82,72,75,4.0,broken clouds
56,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,82.04,66,96,0.87,heavy intensity rain
57,Tlachichuca,MX,19.1,-97.4167,61.05,72,83,7.27,broken clouds
58,Cape Town,ZA,-33.9258,18.4232,55.81,92,75,3.0,light rain
59,Paka,MY,4.6374,103.4368,75.13,94,22,0.0,few clouds
60,Vaini,TO,-21.2,-175.2,71.76,78,75,0.0,broken clouds
61,Bandarbeyla,SO,9.4942,50.8122,76.17,84,63,28.3,broken clouds
62,Cidreira,BR,-30.1811,-50.2056,60.31,91,1,8.99,clear sky
63,Kudahuvadhoo,MV,2.6708,72.8944,82.78,73,100,11.3,overcast clouds
64,Yilan,TW,24.757,121.753,83.08,92,85,2.53,overcast clouds
65,Hambantota,LK,6.1241,81.1185,79.14,94,1,9.22,clear sky
66,Leh,IN,34.1667,77.5833,60.49,54,19,5.35,few clouds
67,Ushuaia,AR,-54.8,-68.3,42.46,61,75,6.91,broken clouds
68,Weligama,LK,5.9667,80.4167,77.0,89,95,10.11,overcast clouds
69,Taoudenni,ML,22.6783,-3.9836,103.03,8,12,12.57,few clouds
70,Acapulco,MX,16.8634,-99.8901,86.25,66,70,9.66,broken clouds
71,Vilyuysk,RU,63.7553,121.6247,68.83,68,95,7.02,overcast clouds
72,Butaritari,KI,3.0707,172.7902,83.64,62,56,11.34,broken clouds
73,Sisimiut,GL,66.9395,-53.6735,43.38,80,97,3.89,overcast clouds
74,Punta Arenas,CL,-53.15,-70.9167,41.11,75,90,17.27,overcast clouds
75,Tual,ID,-5.6667,132.75,80.01,80,100,18.45,overcast clouds
76,Mahebourg,MU,-20.4081,57.7,68.29,94,75,8.05,light rain
77,Nanortalik,GL,60.1432,-45.2371,43.63,88,34,13.11,scattered clouds
78,Hamilton,US,39.1834,-84.5333,91.72,56,20,3.0,few clouds
79,Wau,SS,7.7029,27.9953,70.43,95,100,1.57,overcast clouds
80,Iqaluit,CA,63.7506,-68.5145,44.33,87,90,8.05,light rain
81,Mecca,SA,21.4267,39.8261,91.53,32,68,3.94,broken clouds
82,Clyde River,CA,70.4692,-68.5914,46.63,81,40,13.8,scattered clouds
83,Ranong,TH,9.9658,98.6348,79.27,88,76,6.96,broken clouds
84,Hirara,JP,24.8,125.2833,79.07,100,75,8.05,mist
85,Kapiri Mposhi,ZM,-13.9652,28.6809,57.74,40,0,6.17,clear sky
86,Salalah,OM,17.0151,54.0924,76.53,89,89,5.64,overcast clouds
87,Georgetown,MY,5.4112,100.3354,81.9,83,20,3.44,few clouds
88,Caravelas,BR,-17.7125,-39.2481,68.81,80,1,6.6,clear sky
89,Saskylakh,RU,71.9167,114.0833,60.04,67,100,5.88,overcast clouds
90,Tuzha,RU,57.6062,47.936,62.98,72,89,8.48,overcast clouds
91,Bethel,US,41.3712,-73.414,81.43,74,92,4.65,light rain
92,Pevek,RU,69.7008,170.3133,37.78,80,18,11.25,few clouds
93,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,78,0,17.27,clear sky
94,Komsomolskiy,UZ,40.4272,71.7189,77.72,33,0,9.22,clear sky
95,Verkhnevilyuysk,RU,63.4453,120.3167,65.37,84,100,1.14,overcast clouds
96,Bengkulu,ID,-3.8004,102.2655,75.67,89,49,3.6,scattered clouds
97,Grand Gaube,MU,-20.0064,57.6608,68.4,89,83,4.0,light rain
98,Flinders,AU,-34.5833,150.8552,50.18,86,99,6.24,overcast clouds
99,Narsaq,GL,60.9167,-46.05,46.76,67,9,9.35,clear sky
100,Bredasdorp,ZA,-34.5322,20.0403,56.52,72,100,9.22,moderate rain
101,Chabahar,IR,25.2919,60.643,81.63,84,13,9.84,few clouds
102,Misratah,LY,32.3754,15.0925,81.36,72,0,12.77,clear sky
103,Leamington,CA,42.0549,-82.6062,88.03,91,69,11.01,broken clouds
104,Batemans Bay,AU,-35.7167,150.1833,45.91,71,46,2.75,scattered clouds
105,Klaksvik,FO,62.2266,-6.589,49.12,94,95,6.11,overcast clouds
106,Te Anau,NZ,-45.4167,167.7167,34.97,91,80,0.96,broken clouds
107,Chokurdakh,RU,70.6333,147.9167,63.41,48,47,14.03,scattered clouds
108,Penapolis,BR,-21.4197,-50.0775,80.62,31,6,6.04,clear sky
109,Lagoa,PT,39.05,-27.9833,72.16,86,14,19.91,few clouds
110,Coahuayana,MX,18.7333,-103.6833,88.65,66,46,8.88,scattered clouds
111,Anaconda,US,46.1285,-112.9423,56.97,53,98,5.17,overcast clouds
112,Broken Hill,AU,-31.95,141.4333,38.91,81,0,5.75,clear sky
113,Aberdeen,GB,57.1437,-2.0981,57.2,94,20,6.91,few clouds
114,Sukabumi,ID,-6.9181,106.9267,69.08,96,17,1.23,few clouds
115,Airai,TL,-8.9266,125.4092,54.07,88,29,1.9,scattered clouds
116,Port Alfred,ZA,-33.5906,26.891,60.08,83,61,14.0,broken clouds
117,Tasiilaq,GL,65.6145,-37.6368,42.26,94,100,20.09,light rain
118,Kizukuri,JP,40.8061,140.3861,77.41,92,100,14.0,heavy intensity rain
119,Saldanha,ZA,-33.0117,17.9442,55.45,89,100,15.97,light rain
120,Alofi,NU,-19.0595,-169.9187,75.09,94,100,6.91,light rain
121,Cairns,AU,-16.9167,145.7667,71.55,84,60,10.36,broken clouds
122,Noyabrsk,RU,63.1994,75.4507,60.3,63,11,8.61,few clouds
123,Miri,MY,4.4148,114.0089,78.94,83,40,4.61,scattered clouds
124,Kulhudhuffushi,MV,6.6221,73.07,82.29,70,99,16.46,overcast clouds
125,Dikson,RU,73.5069,80.5464,42.96,94,0,5.79,clear sky
126,Thompson,CA,55.7435,-97.8558,69.96,78,75,8.05,mist
127,Wasilla,US,61.5814,-149.4394,54.52,92,90,5.01,moderate rain
128,Portland,US,45.5234,-122.6762,80.2,45,57,1.99,broken clouds
129,Port Hardy,CA,50.6996,-127.4199,60.98,82,90,10.36,overcast clouds
130,Isiro,CD,2.7739,27.616,66.87,98,100,2.24,light rain
131,Cherskiy,RU,68.75,161.3,58.53,35,24,0.18,few clouds
132,Kimbe,PG,-5.5502,150.1429,77.31,87,82,3.09,broken clouds
133,Kavaratti,IN,10.5669,72.642,78.89,86,100,19.19,overcast clouds
134,Nouadhibou,MR,20.931,-17.0347,71.58,83,3,16.11,clear sky
135,Ust-Tsilma,RU,65.441,52.1498,43.54,94,72,2.93,broken clouds
136,Namatanai,PG,-3.6667,152.4333,80.65,78,67,6.67,broken clouds
137,Jatiroto,ID,-7.8833,111.1167,72.07,93,9,2.01,clear sky
138,Barinas,VE,8.6226,-70.2075,73.09,82,99,3.33,overcast clouds
139,Avarua,CK,-21.2078,-159.775,77.05,69,75,8.05,broken clouds
140,Lazaro Cardenas,MX,17.9583,-102.2,85.14,68,97,7.76,overcast clouds
141,Malartic,CA,48.1335,-78.1328,71.71,82,100,2.39,light rain
142,La Ronge,CA,55.1001,-105.2842,66.45,55,75,8.05,broken clouds
143,Namibe,AO,-15.1961,12.1522,63.5,81,39,5.44,scattered clouds
144,Udachnyy,RU,66.4167,112.4,55.08,82,27,2.82,scattered clouds
145,Le Vauclin,MQ,14.5452,-60.8388,86.13,74,20,9.22,few clouds
146,Shetpe,KZ,44.1667,52.1167,90.61,16,13,6.46,few clouds
147,Tripoli,LY,32.8752,13.1875,86.04,55,0,15.17,clear sky
148,Sitka,US,57.0531,-135.33,61.32,76,100,7.94,overcast clouds
149,Whitehorse,CA,60.7161,-135.0538,68.77,42,75,14.97,broken clouds
150,Ilulissat,GL,69.2167,-51.1,37.6,95,100,7.45,overcast clouds
151,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,97,90,8.05,overcast clouds
152,Castro,BR,-24.7911,-50.0119,61.74,59,99,3.89,overcast clouds
153,Dzilam Gonzalez,MX,21.2833,-88.9333,88.0,60,25,12.48,scattered clouds
154,Morondava,MG,-20.2833,44.2833,68.05,59,0,12.28,clear sky
155,Okha,RU,53.5739,142.9478,56.41,68,12,2.64,few clouds
156,Muscat,OM,23.6139,58.5922,87.73,73,17,7.45,few clouds
157,Tiksi,RU,71.6872,128.8694,49.44,75,46,4.41,scattered clouds
158,Upernavik,GL,72.7868,-56.1549,41.14,86,100,4.16,overcast clouds
159,Dingle,PH,10.9995,122.6711,76.14,91,100,2.35,light rain
160,Camacha,PT,33.0833,-16.3333,67.53,73,40,8.05,scattered clouds
161,Vestmannaeyjar,IS,63.4427,-20.2734,56.23,81,82,7.52,broken clouds
162,East London,ZA,-33.0153,27.9116,64.71,62,46,16.13,scattered clouds
163,Paarl,ZA,-33.7338,18.9752,54.72,98,100,8.23,moderate rain
164,Khatanga,RU,71.9667,102.5,52.43,72,100,10.83,overcast clouds
165,Biltine,TD,14.5333,20.9167,76.42,77,100,5.44,overcast clouds
166,Amilly,FR,47.9728,2.7719,61.54,85,99,5.91,overcast clouds
167,Marandahalli,IN,12.4,78.0,75.58,77,100,6.73,overcast clouds
168,Carson City,US,39.1638,-119.7674,95.65,13,1,8.99,haze
169,Bonfim,BR,3.0833,-59.95,80.82,80,80,1.66,broken clouds
170,Great Yarmouth,GB,52.6083,1.7305,59.95,84,40,16.24,scattered clouds
171,Ribeira Grande,PT,38.5167,-28.7,72.82,87,72,16.28,broken clouds
172,Tarakan,ID,3.3,117.6333,78.3,83,40,5.75,scattered clouds
173,Shawinigan,CA,46.5668,-72.7491,78.04,57,65,3.44,broken clouds
174,Olafsvik,IS,64.8945,-23.7142,56.77,80,100,7.47,overcast clouds
175,Okhotsk,RU,59.3833,143.3,62.92,71,16,5.03,few clouds
176,Arlit,NE,18.7369,7.3853,97.66,23,98,6.42,overcast clouds
177,Fortuna,US,40.5982,-124.1573,88.2,79,75,1.99,broken clouds
178,Makakilo City,US,21.3469,-158.0858,81.28,72,11,14.58,few clouds
179,Nome,US,64.5011,-165.4064,57.16,82,100,13.62,overcast clouds
180,Kununurra,AU,-15.7667,128.7333,57.18,77,0,5.75,clear sky
181,Doha,QA,25.2867,51.5333,94.98,79,1,11.5,clear sky
182,Kutum,SD,14.2,24.6667,69.49,77,47,12.73,scattered clouds
183,Daru,PG,-9.0763,143.2092,76.15,89,100,16.84,overcast clouds
184,Angouleme,FR,45.65,0.15,61.75,74,0,3.44,clear sky
185,Sungaipenuh,ID,-2.0833,101.3833,63.77,95,60,3.2,moderate rain
186,Sar-E Pul,AF,35.8333,66.1667,68.49,23,0,6.82,clear sky
187,Waingapu,ID,-9.6567,120.2641,72.48,78,54,8.1,broken clouds
188,Pokhara,NP,28.2333,83.9833,72.75,89,94,2.42,light rain
189,Bafata,GW,12.1667,-14.75,74.1,97,100,3.98,overcast clouds
190,Vysokogornyy,RU,50.1167,139.15,47.41,98,100,4.05,overcast clouds
191,Pasighat,IN,28.0667,95.3333,78.22,99,100,2.26,moderate rain
192,Zhumadian,CN,32.9794,114.0294,74.32,91,100,1.79,light rain
193,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,88,48,10.96,light rain
194,Price,US,39.5994,-110.8107,92.12,10,1,14.65,clear sky
